ID,Prediction
871,128
1846,86
796,127
2771,54
2168,30
2510,128
716,26
1938,44
384,128
2574,64
377,73
3190,67
942,128
220,134
1970,192
3637,31
2690,127
2115,44
2102,139
581,127
3788,114
2920,177
2131,127
3056,128
2595,114
1811,128
1090,14
1945,128
4038,127
4318,127
2385,127
2777,30
1073,2
1796,89
4198,177
85,76
2606,128
4010,64
2232,134
2149,127
2957,128
1288,139
323,177
2301,127
3942,127
3743,142
3461,114
1399,128
417,128
3367,47
2039,127
547,73
3652,66
1503,139
1663,26
2436,127
2352,86
177,86
1395,128
2084,86
1962,127
437,127
2969,128
2873,30
1314,128
2205,30
3963,127
1250,128
246,142
3216,128
2889,87
3225,76
3146,177
873,127
53,177
51,127
1130,82
1385,127
71,82
3834,177
593,128
2880,128
602,128
345,93
4295,86
1641,128
3428,30
638,177
487,127
242,127
3726,67
1547,177
1320,87
730,127
1639,127
1620,82
2302,139
441,128
410,177
1794,26
1592,192
1245,128
2707,127
2850,73
131,177
575,72
174,114
1486,31
2257,127
3048,67
380,86
589,134
2064,177
3198,177
3852,127
199,134
975,64
3767,56
710,127
516,192
4061,128
1241,106
2312,86
2404,127
1763,82
1268,127
2162,30
1883,14
2255,127
2291,64
1009,64
2684,128
3268,188
1821,76
2882,164
888,128
3780,114
1707,72
1787,192
513,67
2567,142
254,142
3103,106
1331,114
494,93
2419,142
1101,177
3504,127
3041,192
2824,128
2658,128
1,86
2123,127
2922,177
3784,76
4208,139
2461,73
2720,139
2185,93
2356,30
204,14
2628,127
2531,82
808,139
707,44
447,177
2283,127
3239,82
1880,128
1086,30
2306,87
316,128
408,128
3975,31
1598,142
4100,93
3179,127
149,14
2536,127
4266,164
3996,127
2373,127
105,64
322,26
4090,89
990,64
1985,128
1464,128
2182,73
4299,67
1247,86
2594,128
1974,128
4019,64
677,82
2888,82
770,127
903,64
1391,177
776,86
2464,192
644,14
2547,177
3686,128
179,100
3244,82
2416,127
3649,92
231,128
1628,87
81,82
855,139
804,127
891,76
2582,2
1459,127
3237,86
3875,177
3615,164
3636,2
432,128
757,192
3876,47
2395,86
3689,128
824,127
4292,192
2499,177
2207,192
2355,100
630,30
1652,128
798,127
4157,2
752,134
3904,127
3956,192
3590,82
1799,128
4130,30
2357,127
3481,192
89,192
1506,128
2645,89
2640,128
2280,82
1454,47
1637,164
2204,2
1611,127
1656,64
3129,177
449,128
2641,127
2743,72
79,134
1134,2
755,128
2083,139
372,134
4085,90
1670,192
3648,164
576,128
2470,127
2845,177
1920,142
1806,127
2223,86
1184,177
3480,128
265,192
3252,44
3859,127
3700,87
474,128
887,82
3495,64
1940,26
3251,114
1107,128
477,127
2154,127
2986,177
3003,128
2161,74
1472,177
3449,142
2177,127
2817,177
2515,67
1712,128
1657,73
2103,128
3782,139
597,127
1424,139
2408,134
1279,128
3040,128
733,142
1242,164
4011,128
1723,139
229,177
1762,31
2021,188
2616,128
4286,127
3663,30
3612,44
3944,90
4081,127
4183,67
4290,128
1465,164
1186,127
1870,139
3639,192
2134,177
2187,142
2712,54
3711,100
639,86
4006,44
3488,100
3227,82
1861,177
735,127
2788,86
1316,127
1585,72
15,127
4181,177
4274,127
3763,127
1030,192
3862,82
691,177
3209,44
2633,128
1172,142
1552,128
2615,128
2952,127
2347,127
959,192
3678,47
2975,64
3764,177
2526,128
355,192
545,142
1905,127
3508,128
1443,64
592,139
2313,128
510,64
1753,127
2527,128
3498,89
3121,128
4275,128
4128,128
1400,127
3176,2
754,128
2360,127
856,82
3810,128
3423,127
215,128
3486,192
1406,67
2445,128
3281,127
3707,127
277,177
1058,164
4291,139
3322,82
426,67
2440,64
235,89
2478,44
1733,56
3817,128
2271,127
1053,127
696,64
114,164
1539,128
3004,127
1450,192
3527,44
3422,127
2284,128
2761,128
2068,128
3119,128
1898,139
2413,127
1841,54
1826,31
2340,86
2937,30
969,128
3531,177
11,30
1567,128
2151,128
561,127
1257,139
2568,192
1193,128
2242,164
266,128
2799,128
2228,86
18,2
147,177
3196,188
1180,139
4012,67
4166,127
1685,86
1155,67
617,44
2492,164
2333,177
1994,128
3006,90
3272,14
3087,86
643,142
3666,164
3296,47
304,177
310,82
2065,64
3955,164
1915,139
3798,30
2003,142
4258,86
3910,128
8,86
3178,44
3283,128
3881,139
2746,74
3106,67
165,92
544,127
1752,92
1348,114
842,128
2010,128
695,127
3233,127
3419,128
3601,30
2610,67
3439,177
761,188
1939,127
58,177
1266,64
1988,59
4035,139
2411,127
3586,188
4282,100
324,67
3424,44
2454,106
3959,188
3664,177
1473,177
1987,127
2334,67
3383,128
1984,64
1481,30
3077,47
1100,139
1943,127
3928,177
3721,44
