,0,1
0,871.jpg,029.American_Crow
1,1846.jpg,086.Pacific_Loon
2,796.jpg,183.Northern_Waterthrush
3,2771.jpg,049.Boat_tailed_Grackle
4,2168.jpg,027.Shiny_Cowbird
5,2510.jpg,152.Blue_headed_Vireo
6,716.jpg,026.Bronzed_Cowbird
7,1938.jpg,145.Elegant_Tern
8,384.jpg,148.Green_tailed_Towhee
9,2574.jpg,145.Elegant_Tern
10,377.jpg,074.Florida_Jay
11,3190.jpg,068.Ruby_throated_Hummingbird
12,942.jpg,162.Canada_Warbler
13,220.jpg,049.Boat_tailed_Grackle
14,1970.jpg,185.Bohemian_Waxwing
15,3637.jpg,031.Black_billed_Cuckoo
16,2690.jpg,123.Henslow_Sparrow
17,2115.jpg,072.Pomarine_Jaeger
18,2102.jpg,095.Baltimore_Oriole
19,581.jpg,171.Myrtle_Warbler
20,3788.jpg,103.Sayornis
21,2920.jpg,200.Common_Yellowthroat
22,2131.jpg,137.Cliff_Swallow
23,3056.jpg,156.White_eyed_Vireo
24,2595.jpg,114.Black_throated_Sparrow
25,1811.jpg,042.Vermilion_Flycatcher
26,1090.jpg,134.Cape_Glossy_Starling
27,1945.jpg,194.Cactus_Wren
28,4038.jpg,158.Bay_breasted_Warbler
29,4318.jpg,183.Northern_Waterthrush
30,2385.jpg,130.Tree_Sparrow
31,2777.jpg,027.Shiny_Cowbird
32,1073.jpg,002.Laysan_Albatross
33,1796.jpg,089.Hooded_Merganser
34,4198.jpg,175.Pine_Warbler
35,85.jpg,076.Dark_eyed_Junco
36,2606.jpg,154.Red_eyed_Vireo
37,4010.jpg,059.California_Gull
38,2232.jpg,049.Boat_tailed_Grackle
39,2149.jpg,130.Tree_Sparrow
40,2957.jpg,110.Geococcyx
41,1288.jpg,139.Scarlet_Tanager
42,323.jpg,200.Common_Yellowthroat
43,2301.jpg,122.Harris_Sparrow
44,3942.jpg,104.American_Pipit
45,3743.jpg,061.Heermann_Gull
46,3461.jpg,094.White_breasted_Nuthatch
47,1399.jpg,036.Northern_Flicker
48,417.jpg,103.Sayornis
49,3367.jpg,173.Orange_crowned_Warbler
50,2039.jpg,159.Black_and_white_Warbler
51,547.jpg,073.Blue_Jay
52,3652.jpg,059.California_Gull
53,1503.jpg,139.Scarlet_Tanager
54,1663.jpg,004.Groove_billed_Ani
55,2436.jpg,197.Marsh_Wren
56,2352.jpg,086.Pacific_Loon
57,177.jpg,046.Gadwall
58,1395.jpg,021.Eastern_Towhee
59,2084.jpg,050.Eared_Grebe
60,1962.jpg,176.Prairie_Warbler
61,437.jpg,099.Ovenbird
62,2969.jpg,116.Chipping_Sparrow
63,2873.jpg,082.Ringed_Kingfisher
64,1314.jpg,184.Louisiana_Waterthrush
65,2205.jpg,108.White_necked_Raven
66,3963.jpg,129.Song_Sparrow
67,1250.jpg,122.Harris_Sparrow
68,246.jpg,061.Heermann_Gull
69,3216.jpg,109.American_Redstart
70,2889.jpg,087.Mallard
71,3225.jpg,076.Dark_eyed_Junco
72,3146.jpg,200.Common_Yellowthroat
73,873.jpg,085.Horned_Lark
74,53.jpg,055.Evening_Grosbeak
75,51.jpg,099.Ovenbird
76,1130.jpg,080.Green_Kingfisher
77,1385.jpg,099.Ovenbird
78,71.jpg,162.Canada_Warbler
79,3834.jpg,038.Great_Crested_Flycatcher
80,593.jpg,041.Scissor_tailed_Flycatcher
81,2880.jpg,128.Seaside_Sparrow
82,602.jpg,170.Mourning_Warbler
83,345.jpg,081.Pied_Kingfisher
84,4295.jpg,046.Gadwall
85,1641.jpg,036.Northern_Flicker
86,3428.jpg,030.Fish_Crow
87,638.jpg,175.Pine_Warbler
88,487.jpg,123.Henslow_Sparrow
89,242.jpg,144.Common_Tern
90,3726.jpg,067.Anna_Hummingbird
91,1547.jpg,172.Nashville_Warbler
92,1320.jpg,089.Hooded_Merganser
93,730.jpg,184.Louisiana_Waterthrush
94,1639.jpg,127.Savannah_Sparrow
95,1620.jpg,109.American_Redstart
96,2302.jpg,140.Summer_Tanager
97,441.jpg,038.Great_Crested_Flycatcher
98,410.jpg,180.Wilson_Warbler
99,1794.jpg,134.Cape_Glossy_Starling
100,1592.jpg,192.Downy_Woodpecker
101,1245.jpg,137.Cliff_Swallow
102,2707.jpg,199.Winter_Wren
103,2850.jpg,074.Florida_Jay
104,131.jpg,096.Hooded_Oriole
105,575.jpg,041.Scissor_tailed_Flycatcher
106,174.jpg,103.Sayornis
107,1486.jpg,077.Tropical_Kingbird
