,0
0,062.Herring_Gull
1,062.Herring_Gull
2,062.Herring_Gull
3,062.Herring_Gull
4,062.Herring_Gull
5,062.Herring_Gull
6,062.Herring_Gull
7,062.Herring_Gull
8,062.Herring_Gull
9,062.Herring_Gull
10,062.Herring_Gull
11,062.Herring_Gull
12,062.Herring_Gull
13,062.Herring_Gull
14,062.Herring_Gull
15,062.Herring_Gull
16,062.Herring_Gull
17,062.Herring_Gull
18,062.Herring_Gull
19,062.Herring_Gull
20,062.Herring_Gull
21,062.Herring_Gull
22,062.Herring_Gull
23,062.Herring_Gull
24,062.Herring_Gull
25,062.Herring_Gull
26,062.Herring_Gull
27,062.Herring_Gull
28,062.Herring_Gull
29,062.Herring_Gull
30,013.Bobolink
31,013.Bobolink
32,013.Bobolink
33,013.Bobolink
34,013.Bobolink
35,013.Bobolink
36,013.Bobolink
37,013.Bobolink
38,013.Bobolink
39,013.Bobolink
40,013.Bobolink
41,013.Bobolink
42,013.Bobolink
43,013.Bobolink
44,013.Bobolink
45,013.Bobolink
46,013.Bobolink
47,013.Bobolink
48,013.Bobolink
49,013.Bobolink
50,013.Bobolink
51,013.Bobolink
52,013.Bobolink
53,013.Bobolink
54,013.Bobolink
55,013.Bobolink
56,013.Bobolink
57,013.Bobolink
58,013.Bobolink
59,013.Bobolink
60,027.Shiny_Cowbird
61,027.Shiny_Cowbird
62,027.Shiny_Cowbird
63,027.Shiny_Cowbird
64,027.Shiny_Cowbird
65,027.Shiny_Cowbird
66,027.Shiny_Cowbird
67,027.Shiny_Cowbird
68,027.Shiny_Cowbird
69,027.Shiny_Cowbird
70,027.Shiny_Cowbird
71,027.Shiny_Cowbird
72,027.Shiny_Cowbird
73,027.Shiny_Cowbird
74,027.Shiny_Cowbird
75,027.Shiny_Cowbird
76,027.Shiny_Cowbird
77,027.Shiny_Cowbird
78,027.Shiny_Cowbird
79,027.Shiny_Cowbird
80,027.Shiny_Cowbird
81,027.Shiny_Cowbird
82,027.Shiny_Cowbird
83,027.Shiny_Cowbird
84,027.Shiny_Cowbird
85,027.Shiny_Cowbird
86,027.Shiny_Cowbird
87,027.Shiny_Cowbird
88,027.Shiny_Cowbird
89,027.Shiny_Cowbird
90,129.Song_Sparrow
91,129.Song_Sparrow
92,129.Song_Sparrow
93,129.Song_Sparrow
94,129.Song_Sparrow
95,129.Song_Sparrow
96,129.Song_Sparrow
97,129.Song_Sparrow
98,129.Song_Sparrow
99,129.Song_Sparrow
100,129.Song_Sparrow
101,129.Song_Sparrow
102,129.Song_Sparrow
103,129.Song_Sparrow
104,129.Song_Sparrow
105,129.Song_Sparrow
106,129.Song_Sparrow
107,129.Song_Sparrow
108,129.Song_Sparrow
109,129.Song_Sparrow
110,129.Song_Sparrow
111,129.Song_Sparrow
112,129.Song_Sparrow
113,129.Song_Sparrow
114,129.Song_Sparrow
115,129.Song_Sparrow
116,129.Song_Sparrow
117,129.Song_Sparrow
118,129.Song_Sparrow
119,129.Song_Sparrow
120,111.Loggerhead_Shrike
121,111.Loggerhead_Shrike
122,111.Loggerhead_Shrike
123,111.Loggerhead_Shrike
124,111.Loggerhead_Shrike
125,111.Loggerhead_Shrike
126,111.Loggerhead_Shrike
127,111.Loggerhead_Shrike
128,111.Loggerhead_Shrike
129,111.Loggerhead_Shrike
130,111.Loggerhead_Shrike
131,111.Loggerhead_Shrike
132,111.Loggerhead_Shrike
133,111.Loggerhead_Shrike
134,111.Loggerhead_Shrike
135,111.Loggerhead_Shrike
136,111.Loggerhead_Shrike
137,111.Loggerhead_Shrike
138,111.Loggerhead_Shrike
139,111.Loggerhead_Shrike
140,111.Loggerhead_Shrike
141,111.Loggerhead_Shrike
142,111.Loggerhead_Shrike
143,111.Loggerhead_Shrike
144,111.Loggerhead_Shrike
145,111.Loggerhead_Shrike
146,111.Loggerhead_Shrike
147,111.Loggerhead_Shrike
148,111.Loggerhead_Shrike
149,111.Loggerhead_Shrike
150,052.Pied_billed_Grebe
151,052.Pied_billed_Grebe
152,052.Pied_billed_Grebe
153,052.Pied_billed_Grebe
154,052.Pied_billed_Grebe
155,052.Pied_billed_Grebe
156,052.Pied_billed_Grebe
157,052.Pied_billed_Grebe
158,052.Pied_billed_Grebe
159,052.Pied_billed_Grebe
160,052.Pied_billed_Grebe
161,052.Pied_billed_Grebe
162,052.Pied_billed_Grebe
163,052.Pied_billed_Grebe
164,052.Pied_billed_Grebe
165,052.Pied_billed_Grebe
166,052.Pied_billed_Grebe
167,052.Pied_billed_Grebe
168,052.Pied_billed_Grebe
169,052.Pied_billed_Grebe
170,052.Pied_billed_Grebe
171,052.Pied_billed_Grebe
172,052.Pied_billed_Grebe
173,052.Pied_billed_Grebe
174,052.Pied_billed_Grebe
175,052.Pied_billed_Grebe
176,052.Pied_billed_Grebe
177,052.Pied_billed_Grebe
178,052.Pied_billed_Grebe
179,052.Pied_billed_Grebe
180,002.Laysan_Albatross
181,002.Laysan_Albatross
182,002.Laysan_Albatross
183,002.Laysan_Albatross
184,002.Laysan_Albatross
185,002.Laysan_Albatross
186,002.Laysan_Albatross
187,002.Laysan_Albatross
188,002.Laysan_Albatross
189,002.Laysan_Albatross
190,002.Laysan_Albatross
191,002.Laysan_Albatross
192,002.Laysan_Albatross
193,002.Laysan_Albatross
194,002.Laysan_Albatross
195,002.Laysan_Albatross
196,002.Laysan_Albatross
197,002.Laysan_Albatross
198,002.Laysan_Albatross
199,002.Laysan_Albatross
200,002.Laysan_Albatross
201,002.Laysan_Albatross
202,002.Laysan_Albatross
203,002.Laysan_Albatross
204,002.Laysan_Albatross
205,002.Laysan_Albatross
206,002.Laysan_Albatross
207,002.Laysan_Albatross
208,002.Laysan_Albatross
209,002.Laysan_Albatross
210,161.Blue_winged_Warbler
211,161.Blue_winged_Warbler
212,161.Blue_winged_Warbler
213,161.Blue_winged_Warbler
214,161.Blue_winged_Warbler
215,161.Blue_winged_Warbler
216,161.Blue_winged_Warbler
217,161.Blue_winged_Warbler
218,161.Blue_winged_Warbler
219,161.Blue_winged_Warbler
220,161.Blue_winged_Warbler
221,161.Blue_winged_Warbler
222,161.Blue_winged_Warbler
223,161.Blue_winged_Warbler
224,161.Blue_winged_Warbler
225,161.Blue_winged_Warbler
226,161.Blue_winged_Warbler
227,161.Blue_winged_Warbler
228,161.Blue_winged_Warbler
229,161.Blue_winged_Warbler
230,161.Blue_winged_Warbler
231,161.Blue_winged_Warbler
232,161.Blue_winged_Warbler
233,161.Blue_winged_Warbler
234,161.Blue_winged_Warbler
235,161.Blue_winged_Warbler
236,161.Blue_winged_Warbler
237,161.Blue_winged_Warbler
238,161.Blue_winged_Warbler
239,161.Blue_winged_Warbler
240,040.Olive_sided_Flycatcher
241,040.Olive_sided_Flycatcher
242,040.Olive_sided_Flycatcher
243,040.Olive_sided_Flycatcher
244,040.Olive_sided_Flycatcher
245,040.Olive_sided_Flycatcher
246,040.Olive_sided_Flycatcher
247,040.Olive_sided_Flycatcher
248,040.Olive_sided_Flycatcher
249,040.Olive_sided_Flycatcher
250,040.Olive_sided_Flycatcher
251,040.Olive_sided_Flycatcher
252,040.Olive_sided_Flycatcher
253,040.Olive_sided_Flycatcher
254,040.Olive_sided_Flycatcher
255,040.Olive_sided_Flycatcher
256,040.Olive_sided_Flycatcher
257,040.Olive_sided_Flycatcher
258,040.Olive_sided_Flycatcher
259,040.Olive_sided_Flycatcher
260,040.Olive_sided_Flycatcher
261,040.Olive_sided_Flycatcher
262,040.Olive_sided_Flycatcher
263,040.Olive_sided_Flycatcher
264,040.Olive_sided_Flycatcher
265,040.Olive_sided_Flycatcher
266,040.Olive_sided_Flycatcher
267,040.Olive_sided_Flycatcher
268,040.Olive_sided_Flycatcher
269,040.Olive_sided_Flycatcher
270,046.Gadwall
271,046.Gadwall
272,046.Gadwall
273,046.Gadwall
274,046.Gadwall
275,046.Gadwall
276,046.Gadwall
277,046.Gadwall
278,046.Gadwall
279,046.Gadwall
280,046.Gadwall
281,046.Gadwall
282,046.Gadwall
283,046.Gadwall
284,046.Gadwall
285,046.Gadwall
286,046.Gadwall
287,046.Gadwall
288,046.Gadwall
289,046.Gadwall
290,046.Gadwall
291,046.Gadwall
292,046.Gadwall
293,046.Gadwall
294,046.Gadwall
295,046.Gadwall
296,046.Gadwall
297,046.Gadwall
298,046.Gadwall
299,046.Gadwall
300,088.Western_Meadowlark
301,088.Western_Meadowlark
302,088.Western_Meadowlark
303,088.Western_Meadowlark
304,088.Western_Meadowlark
305,088.Western_Meadowlark
306,088.Western_Meadowlark
307,088.Western_Meadowlark
308,088.Western_Meadowlark
309,088.Western_Meadowlark
310,088.Western_Meadowlark
311,088.Western_Meadowlark
312,088.Western_Meadowlark
313,088.Western_Meadowlark
314,088.Western_Meadowlark
315,088.Western_Meadowlark
316,088.Western_Meadowlark
317,088.Western_Meadowlark
318,088.Western_Meadowlark
319,088.Western_Meadowlark
320,088.Western_Meadowlark
321,088.Western_Meadowlark
322,088.Western_Meadowlark
323,088.Western_Meadowlark
324,088.Western_Meadowlark
325,088.Western_Meadowlark
326,088.Western_Meadowlark
327,088.Western_Meadowlark
328,088.Western_Meadowlark
329,088.Western_Meadowlark
330,172.Nashville_Warbler
331,172.Nashville_Warbler
332,172.Nashville_Warbler
333,172.Nashville_Warbler
334,172.Nashville_Warbler
335,172.Nashville_Warbler
336,172.Nashville_Warbler
337,172.Nashville_Warbler
338,172.Nashville_Warbler
339,172.Nashville_Warbler
340,172.Nashville_Warbler
341,172.Nashville_Warbler
342,172.Nashville_Warbler
343,172.Nashville_Warbler
344,172.Nashville_Warbler
345,172.Nashville_Warbler
346,172.Nashville_Warbler
347,172.Nashville_Warbler
348,172.Nashville_Warbler
349,172.Nashville_Warbler
350,172.Nashville_Warbler
351,172.Nashville_Warbler
352,172.Nashville_Warbler
353,172.Nashville_Warbler
354,172.Nashville_Warbler
355,172.Nashville_Warbler
356,172.Nashville_Warbler
357,172.Nashville_Warbler
358,172.Nashville_Warbler
359,172.Nashville_Warbler
360,139.Scarlet_Tanager
361,139.Scarlet_Tanager
362,139.Scarlet_Tanager
363,139.Scarlet_Tanager
364,139.Scarlet_Tanager
365,139.Scarlet_Tanager
366,139.Scarlet_Tanager
367,139.Scarlet_Tanager
368,139.Scarlet_Tanager
369,139.Scarlet_Tanager
370,139.Scarlet_Tanager
371,139.Scarlet_Tanager
372,139.Scarlet_Tanager
373,139.Scarlet_Tanager
374,139.Scarlet_Tanager
375,139.Scarlet_Tanager
376,139.Scarlet_Tanager
377,139.Scarlet_Tanager
378,139.Scarlet_Tanager
379,139.Scarlet_Tanager
380,139.Scarlet_Tanager
381,139.Scarlet_Tanager
382,139.Scarlet_Tanager
383,139.Scarlet_Tanager
384,139.Scarlet_Tanager
385,139.Scarlet_Tanager
386,139.Scarlet_Tanager
387,139.Scarlet_Tanager
388,139.Scarlet_Tanager
389,139.Scarlet_Tanager
390,195.Carolina_Wren
391,195.Carolina_Wren
392,195.Carolina_Wren
393,195.Carolina_Wren
394,195.Carolina_Wren
395,195.Carolina_Wren
396,195.Carolina_Wren
397,195.Carolina_Wren
398,195.Carolina_Wren
399,195.Carolina_Wren
400,195.Carolina_Wren
401,195.Carolina_Wren
402,195.Carolina_Wren
403,195.Carolina_Wren
404,195.Carolina_Wren
405,195.Carolina_Wren
406,195.Carolina_Wren
407,195.Carolina_Wren
408,195.Carolina_Wren
409,195.Carolina_Wren
410,195.Carolina_Wren
411,195.Carolina_Wren
412,195.Carolina_Wren
413,195.Carolina_Wren
414,195.Carolina_Wren
415,195.Carolina_Wren
416,195.Carolina_Wren
417,195.Carolina_Wren
418,195.Carolina_Wren
419,195.Carolina_Wren
420,134.Cape_Glossy_Starling
421,134.Cape_Glossy_Starling
422,134.Cape_Glossy_Starling
423,134.Cape_Glossy_Starling
424,134.Cape_Glossy_Starling
425,134.Cape_Glossy_Starling
426,134.Cape_Glossy_Starling
427,134.Cape_Glossy_Starling
428,134.Cape_Glossy_Starling
429,134.Cape_Glossy_Starling
430,134.Cape_Glossy_Starling
431,134.Cape_Glossy_Starling
432,134.Cape_Glossy_Starling
433,134.Cape_Glossy_Starling
434,134.Cape_Glossy_Starling
435,134.Cape_Glossy_Starling
436,134.Cape_Glossy_Starling
437,134.Cape_Glossy_Starling
438,134.Cape_Glossy_Starling
439,134.Cape_Glossy_Starling
440,134.Cape_Glossy_Starling
441,134.Cape_Glossy_Starling
442,134.Cape_Glossy_Starling
443,134.Cape_Glossy_Starling
444,134.Cape_Glossy_Starling
445,134.Cape_Glossy_Starling
446,134.Cape_Glossy_Starling
447,134.Cape_Glossy_Starling
448,134.Cape_Glossy_Starling
449,134.Cape_Glossy_Starling
450,095.Baltimore_Oriole
451,095.Baltimore_Oriole
452,095.Baltimore_Oriole
453,095.Baltimore_Oriole
454,095.Baltimore_Oriole
455,095.Baltimore_Oriole
456,095.Baltimore_Oriole
457,095.Baltimore_Oriole
458,095.Baltimore_Oriole
459,095.Baltimore_Oriole
460,095.Baltimore_Oriole
461,095.Baltimore_Oriole
462,095.Baltimore_Oriole
463,095.Baltimore_Oriole
464,095.Baltimore_Oriole
465,095.Baltimore_Oriole
466,095.Baltimore_Oriole
467,095.Baltimore_Oriole
468,095.Baltimore_Oriole
469,095.Baltimore_Oriole
470,095.Baltimore_Oriole
471,095.Baltimore_Oriole
472,095.Baltimore_Oriole
473,095.Baltimore_Oriole
474,095.Baltimore_Oriole
475,095.Baltimore_Oriole
476,095.Baltimore_Oriole
477,095.Baltimore_Oriole
478,095.Baltimore_Oriole
479,095.Baltimore_Oriole
480,130.Tree_Sparrow
481,130.Tree_Sparrow
482,130.Tree_Sparrow
483,130.Tree_Sparrow
484,130.Tree_Sparrow
485,130.Tree_Sparrow
486,130.Tree_Sparrow
487,130.Tree_Sparrow
488,130.Tree_Sparrow
489,130.Tree_Sparrow
490,130.Tree_Sparrow
491,130.Tree_Sparrow
492,130.Tree_Sparrow
493,130.Tree_Sparrow
494,130.Tree_Sparrow
495,130.Tree_Sparrow
496,130.Tree_Sparrow
497,130.Tree_Sparrow
498,130.Tree_Sparrow
499,130.Tree_Sparrow
500,130.Tree_Sparrow
501,130.Tree_Sparrow
502,130.Tree_Sparrow
503,130.Tree_Sparrow
504,130.Tree_Sparrow
505,130.Tree_Sparrow
506,130.Tree_Sparrow
507,130.Tree_Sparrow
508,130.Tree_Sparrow
509,130.Tree_Sparrow
510,085.Horned_Lark
511,085.Horned_Lark
512,085.Horned_Lark
513,085.Horned_Lark
514,085.Horned_Lark
515,085.Horned_Lark
516,085.Horned_Lark
517,085.Horned_Lark
518,085.Horned_Lark
519,085.Horned_Lark
520,085.Horned_Lark
521,085.Horned_Lark
522,085.Horned_Lark
523,085.Horned_Lark
524,085.Horned_Lark
525,085.Horned_Lark
526,085.Horned_Lark
527,085.Horned_Lark
528,085.Horned_Lark
529,085.Horned_Lark
530,085.Horned_Lark
531,085.Horned_Lark
532,085.Horned_Lark
533,085.Horned_Lark
534,085.Horned_Lark
535,085.Horned_Lark
536,085.Horned_Lark
537,085.Horned_Lark
538,085.Horned_Lark
539,085.Horned_Lark
540,123.Henslow_Sparrow
541,123.Henslow_Sparrow
542,123.Henslow_Sparrow
543,123.Henslow_Sparrow
544,123.Henslow_Sparrow
545,123.Henslow_Sparrow
546,123.Henslow_Sparrow
547,123.Henslow_Sparrow
548,123.Henslow_Sparrow
549,123.Henslow_Sparrow
550,123.Henslow_Sparrow
551,123.Henslow_Sparrow
552,123.Henslow_Sparrow
553,123.Henslow_Sparrow
554,123.Henslow_Sparrow
555,123.Henslow_Sparrow
556,123.Henslow_Sparrow
557,123.Henslow_Sparrow
558,123.Henslow_Sparrow
559,123.Henslow_Sparrow
560,123.Henslow_Sparrow
561,123.Henslow_Sparrow
562,123.Henslow_Sparrow
563,123.Henslow_Sparrow
564,123.Henslow_Sparrow
565,123.Henslow_Sparrow
566,123.Henslow_Sparrow
567,123.Henslow_Sparrow
